Ticker,Report Date,Fiscal Year,Fiscal Period,Adj. Open,Adj. Close,PeriodReturn,Altman Z-Score,Piotroski F-Score,Gross Profit Margin,Operating Margin,Net Profit Margin,Return on Equity,Return on Assets,Free Cash Flow to Net Income,Current Ratio,Debt Ratio,Earnings Per Share (Diluted),Sales Per Share,Equity Per Share,Free Cash Flow Per Share,Return On Invested Capital,Cash Return On Invested Capital,Dividend Payout Ratio,Net Debt / EBITDA,Net Debt / EBIT
VMC,2019-09-30,2019,Q3,149.68,144.94,-0.0458,2.05,8,0.28239,0.21367,0.15204,0.03892,0.02047,1.22134,2.47391,0.30078,1.61734,10.71456,41.85539,1.98967,0.02566,0.02633,0.19014,7.71104,10.15931
VMC,2019-12-31,2019,Q4,142.77,138.3,-0.2474,1.89,6,0.24709,0.15243,0.11898,0.0251,0.01325,1.84885,2.57547,0.29809,1.05513,8.95382,42.43744,1.96967,0.01802,0.0258,0.2914,9.90804,16.05477
VMC,2020-03-31,2020,Q1,100.61,104.08,0.0756,1.75,5,0.19226,0.10608,0.05743,0.01078,0.00567,-0.99719,2.68414,0.29992,0.45219,7.91481,42.16982,-0.45327,0.01038,-0.00592,0.74845,14.83674,27.56437
VMC,2020-06-30,2020,Q2,115.92,111.95,0.173,1.86,7,0.29981,0.22619,0.15872,0.03642,0.01842,1.24984,1.95438,0.32408,1.57695,9.97778,43.48596,1.97931,0.02348,0.02416,0.2145,7.21805,9.6181
VMC,2020-09-30,2020,Q3,133.36,131.32,0.0969,1.87,6,0.29048,0.21874,0.15252,0.0337,0.01724,1.53648,2.11735,0.3187,1.49914,9.88052,44.71764,2.31548,0.0222,0.02783,0.2254,6.73516,9.10836
VMC,2020-12-31,2020,Q4,145.9,144.04,0.1404,1.75,6,0.25765,0.1657,0.09747,0.019,0.0098,1.74111,2.17311,0.31589,0.859,8.8606,45.4479,1.50372,0.01416,0.0177,0.39294,9.05436,12.81162
VMC,2021-03-31,2021,Q1,175,164.26,0.0335,1.98,7,0.21464,0.12384,0.15033,0.02617,0.01417,0.42683,3.52182,0.28149,1.20376,8.04752,46.22483,0.51638,0.01945,0.00636,0.3055,6.93735,18.65243
VMC,2021-06-30,2021,Q2,173.23,169.77,-0.0263,2.08,5,0.29273,0.21109,0.1435,0.03103,0.01688,0.70132,3.67223,0.27877,1.46313,10.24996,47.39458,1.03154,0.02225,0.01247,0.25186,6.06559,8.24228
VMC,2021-09-30,2021,Q3,174.24,165.31,0.2294,1.62,4,0.25987,0.17112,0.11665,0.02743,0.01292,1.13568,1.96008,0.32911,1.32466,11.41857,48.38566,1.5127,0.01762,0.01567,0.27726,11.58913,16.83662
VMC,2021-12-31,2021,Q4,206.42,203.23,-0.1131,1.64,6,0.21895,0.13173,0.08585,0.021,0.01008,1.11734,2.20936,0.33023,1.03114,12.08653,49.24755,1.15938,0.01448,0.01193,0.35664,12.11366,20.24286
